TITLE, RATING, REASON, DISTRIBUTOR, ALT TITLES, OTHER, SEXUALITY, NUDITY, VIOLENCE, LANGUAGE, SUBSTANCE
Ice Road Terror (2012), R, Rated R for creature violence and gore., ARO Entertainment - [Production Co.], Ice Road Trucker, NA, 0, 0, 1, 0, 0
Identity Thief (2012), R, Rated R for sexual content and language., Universal Studios, ID Theft; Identity Crisis; Identity Theft, NA, 1, 0, 0, 1, 0
Illegal (2012), R, "Rated R for violence including a rape  language and some drug content.", "FilmWorks Entertainment  Inc.", Ilegales, NA, 0, 0, 1, 1, 1
"Immigrant  The (2012)", R, "Rated R for sexual content  nudity and some language.", "Weinstein Company LLC  The", "Nightingale  The", NA, 1, 1, 0, 1, 0
"Imposter  The (2012)", R, Rated R for language., "Indomina Media  Inc.", "Chameleon  The", NA, 0, 0, 0, 1, 0
"Inbetweeners  The (2012)", R, "Rated R for strong crude and sexual content  some graphic nudity  language  alcohol and brief drug use.", Wrekin Hill Entertainment, NA, NA, 1, 1, 0, 1, 1
Inhuman Resources (2012), R, "Rated R for bloody violence  language and brief sexuality/nudity.", Naedomi Media, Redd, NA, 1, 1, 1, 1, 0
Inside Llewyn Davis (2012), R, Rated R for language including some sexual references., CBS Films Inc., NA, NA, 1, 0, 0, 1, 0
Into The White (2012), R, Rated R for language., Magnolia Pictures, NA, NA, 0, 0, 0, 1, 0
"Intouchables  The (2012)", R, Rated R for language and some drug use., "Weinstein Company LLC  The", "Untouchables  The", NA, 0, 0, 0, 1, 1
Intruders (2012), R, "Rated R for terror  horror violence  some sexuality/nudity and language.", Millennium Entertainment, NA, NA, 1, 1, 1, 1, 0
Iron Sky (2012), R, Rated R for language and some violence., Entertainment One Film USA LLC, NA, NA, 0, 0, 1, 1, 0
Isle Of Dogs (2012), R, "Rated R for strong bloody violence  pervasive language  some sexuality and drug use.", Dream Factory Entertainment & Sycamore Entertainment Group, NA, NA, 1, 0, 1, 1, 1
It's A Disaster (2012), R, "Rated R for language including sexual references  and some drug content.", Oscilloscope Laboratories, NA, NA, 1, 0, 0, 1, 1
Jack & Diane (2012), R, "Rated R for strong sexual content including nudity and an assault  bloody violence  language and drinking - all involving teens.", Magnolia Pictures, NA, NA, 1, 1, 1, 1, 1
Jannat 2 (2012), R, Rated R for some violence., Twentieth Century Fox Film Corp., NA, NA, 0, 0, 1, 0, 0
Jayne Mansfield's Car (2012), R, "Rated R for language  sexual content  nudity  drug use and some bloody images.", Anchor Bay Films, NA, NA, 1, 1, 1, 1, 1
Jeff Who Lives At Home (2012), R, Rated R for language including sexual references and some drug use., Paramount Pictures Corporation, NA, NA, 1, 0, 0, 1, 1
Jersey Shore Shark Attack (2012), R, Rated R for some bloody creature violence., Anchor Bay Entertainment, NA, NA, 0, 0, 1, 0, 0
John Dies At The End (2012), R, "Rated R for bloody violence and gore  nudity  language and drug content.", Magnolia Pictures, NA, NA, 0, 1, 1, 1, 1
Junkyard Dog (2012), R, Rated R for disturbing violence including rape., Naedomi Media, NA, NA, 0, 0, 1, 0, 0
Just 45 Minutes From Broadway (2012), R, Rated R for some language., Rainbow Releasing, NA, NA, 0, 0, 0, 1, 0
"Kane Files  The (2012)", R, Rated R for violence and some language., "Inception Media Group  LLC", "Kane Files: Life Of Trial  The", NA, 0, 0, 1, 1, 0
Keyhole (2012), R, "Rated R for graphic nudity  sexuality  violent content and some language.", monterey media inc., NA, NA, 1, 1, 1, 1, 0
Kill For Me (2012), R, "Rated R for violence  language and some sexuality.", Sony Pictures Worldwide Acquisitions Inc., "New Girl  The", NA, 1, 0, 1, 1, 0
Kill Speed (2012), R, "Rated R for violence  some sexuality  drug use and language.", Naedomi Media, NA, NA, 1, 0, 1, 1, 1
Killer Joe: A Twisted Redneck Trailer Park Murder Story (2012), R, "Rated R for strong and disturbing violence  sexuality  graphic nudity  drug use and language ", LD Entertainment, Killer Joe (Edited Version), Edited Version, 1, 1, 1, 1, 1
Killing Season (2012), R, "Rated R for strong violence  some torture  and language including some sexual references.", Millennium Entertainment, NA, NA, 1, 0, 1, 1, 0
Killing Them Softly (2012), R, "Rated R for violence  sexual references  pervasive language  and some drug use.", "Weinstein Company LLC  The", Cogan's Trade, NA, 1, 0, 1, 1, 1
Kiss Of The Damned (2012), R, "Rated R for bloody violence  strong sexual content  nudity  language and some drug use.", Magnolia Pictures, NA, NA, 1, 1, 1, 1, 1
Klown (2012), R, "Rated R for strong sexual content  graphic nudity  language and some drug use.", Drafthouse Films, Clown; Klovn: The Movie, NA, 1, 1, 0, 1, 1
Knock Knock 2 (2012), R, Rated R for pervasive language and some violent images., Grindstone Entertainment Group, 1666, NA, 0, 0, 1, 1, 0
Knockdown (2012), R, "Rated R for bloody violence  sexual content  language and some drug use.", ARC Entertainment, Bangkok Bound, NA, 1, 0, 1, 1, 1
L!fe Happens (2012), R, Rated R for sexual content including references., PMK*BNC, BFF And Baby; Life Happens, NA, 1, 0, 0, 0, 0
Lake Placid: The Final Chapter (2012), R, "Rated R for bloody creature violence  language and some sexuality/nudity.", Sony Pictures Worldwide Acquisitions Inc., Lake Placid 4, NA, 1, 1, 1, 1, 0
"Last Gladiators  The (2012)", R, Rated R for language., Phase 4 Films Inc., NA, NA, 0, 0, 0, 1, 0
"Last Stand  The (2012)", R, "Rated R for strong bloody violence throughout  and language.", Lionsgate, NA, NA, 0, 0, 1, 1, 0
"Late Quartet  A (2012)", R, Rated R for language and some sexuality., Entertainment One Film USA LLC & RKO Pictures, NA, NA, 1, 0, 0, 1, 0
Lawless (2012), R, "Rated R for strong bloody violence  language and some sexuality/nudity.", "Weinstein Company LLC  The", "Wettest County; Wettest County In The World  The", NA, 1, 1, 1, 1, 0
Lay The Favorite (2012), R, "Rated R for language throughout  some sexual content  brief drug use  and nudity.", Radius-TWC, NA, NA, 1, 1, 0, 1, 1
Least Among Saints (2012), R, Rated R for language., Brainstorm Media, NA, NA, 0, 0, 0, 1, 0
Leave (2012), R, Rated R for language and violence., Naedomi Media, NA, NA, 0, 0, 1, 1, 0
"Letter  The (2012)", R, Rated R for sexuality and language., Lionsgate, "Stare  The", NA, 1, 0, 0, 1, 0
"Liability  The (2012)", R, "Rated R for violence  language and some sexual content.", Grindstone Entertainment Group, NA, NA, 1, 0, 1, 1, 0
"Liar's Autobiography: The Untrue Story Of Monty Python's Graham Chapman  A (2012)", R, "Rated R for strong and crude sexual content including graphic animated sequences  language and some violent images.", Brainstorm Media, NA, NA, 1, 0, 1, 1, 0
"Little Bit Zombie  A (2012)", R, "Rated R for some bloody violence  language throughout and brief nudity.", Phase 4 Films Inc., NA, NA, 0, 1, 1, 1, 0
Lloyd The Conqueror (2012), R, Rated R for sexual references and language., Fresh Dog Productions - [Production Co.] & Handmutton Films Inc. - [Production Co.], Larping: The Nights Of Awesome, NA, 1, 0, 0, 1, 0
Lola Versus (2012), R, "Rated R for language  sexuality and drug use.", Twentieth Century Fox Film Corp., NA, NA, 1, 0, 0, 1, 1
"Lonely Place To Die  A (2012)", R, Rated R for language and some strong violence., IFC Films, NA, NA, 0, 0, 1, 1, 0
Looper (2012), R, "Rated R for strong violence  language  some sexuality/nudity and drug content.", TriStar Pictures, NA, NA, 1, 1, 1, 1, 1
Lord Of Darkness (2012), R, "Rated R for bloody violence  grisly images  language  some sexual content and brief drug use.", Grindstone Entertainment Group, Sawney: Flesh Of Man, NA, 1, 0, 1, 1, 1
"Lords Of Salem  The (2012)", R, "Rated R for disturbing violent and sexual content  graphic nudity  language and some drug use.", Anchor Bay Films, NA, NA, 1, 1, 1, 1, 1
Losing Control (2012), R, Rated R for some sexual content and language., House Lights Media, NA, NA, 1, 0, 0, 1, 0
"Loved Ones  The (2012)", R, "Rated R for strong bloody violence and torture  sexuality  some language  teen drug and alcohol use.", Paramount Pictures Corporation, NA, NA, 1, 0, 1, 1, 1
Lovelace (2012), R, "Rated R for strong sexual content  nudity  language  drug use and some domestic violence.", Radius-TWC, Linda Lovelace, NA, 1, 1, 1, 1, 1
Lovely Molly (2012), R, "Rated R for strong disturbing violence and grisly images  some graphic sexual content and nudity  drug use and language.", "Image Entertainment  Inc.", NA, NA, 1, 1, 1, 1, 1
Luster (2012), R, "Rated R for language  violent content and some sexuality.", Naedomi Media, NA, NA, 1, 0, 1, 1, 0
LUV (2012), R, "Rated R for violence  language  child endangerment and some drug content.", "Indomina Media  Inc.", NA, NA, 0, 0, 1, 1, 1
Mac & Devin Go To High School (2012), R, "Rated R for pervasive drug content and use  language and sexual content.", "Anchor Bay Entertainment  LLC", NA, NA, 1, 0, 0, 1, 1
Madison County (2012), R, "Rated R for violence  language and brief nudity.", "Image Entertainment  Inc.", NA, NA, 0, 1, 1, 1, 0
Mafia (2012), R, "Rated R for violence  pervasive language and some sexuality.", ARC Entertainment, NA, NA, 1, 0, 1, 1, 0
Magic Mike (2012), R, "Rated R for pervasive sexual content  brief graphic nudity  language and some drug use.", Warner Bros. Pictures, Untitled Steven Soderbergh, NA, 1, 1, 0, 1, 1
Mamitas (2012), R, Rated R for some sexual references and teen partying., "Screen Media Ventures  LLC", NA, NA, 1, 0, 0, 0, 0
"Man With The Iron Fists  The (2012)", R, "Rated R for bloody violence  strong sexuality  language and brief drug use.", Universal Studios, NA, NA, 1, 0, 1, 1, 1
Mancation (2012), R, "Rated R for strong crude and sexual content including dialogue  nudity and pervasive language.", Grindstone Entertainment Group, NA, NA, 1, 1, 0, 1, 0
"Marine 3: Homefront  The (2012)", R, Rated R for violence and language., Twentieth Century Fox Home Entertainment LLC, "Marine: Homefront  The", NA, 0, 0, 1, 1, 0
"Master  The (2012)", R, "Rated R for sexual content  graphic nudity and language.", "Weinstein Company LLC  The", Untitled Western, NA, 1, 1, 0, 1, 0
Maximum Conviction (2012), R, Rated R for violence and language throughout., Anchor Bay Entertainment, NA, NA, 0, 0, 1, 1, 0
Memorial Day (2012), R, Rated R for some war violence., "Image Entertainment  Inc.", Souvenirs, NA, 0, 0, 1, 0, 0
Middle Of Nowhere (2012), R, Rated R for some language., AFFRM, NA, NA, 0, 0, 0, 1, 0
Mighty Fine (2012), R, Rated R for language and brief nudity., Adopt Films, NA, NA, 0, 1, 0, 1, 0
Mimesis (2012), R, Rated R for bloody violence and for language., Anchor Bay Entertainment, NA, NA, 0, 0, 1, 1, 0
Miss Dial (2012), R, Rated R for some sexual references., Phase 4 Films Inc., NA, NA, 1, 0, 0, 0, 0
Money Shot (2012), R, "Rated R for crude and sexual content  nudity  language and drug use.", Phase 4 Films Inc., Agua Caliente, NA, 1, 1, 0, 1, 1
"Monitor  The (2012)", R, Rated R for some violence., Grindstone Entertainment Group, Babycall, NA, 0, 0, 1, 0, 0
"Mooring  The (2012)", R, Rated R for violence and terror., Grindstone Entertainment Group, NA, NA, 0, 0, 1, 0, 0
Mother's Day (2012), R, "Rated R for strong brutal bloody violence and torture  pervasive language and some sexual content.", Anchor Bay Films, NA, NA, 1, 0, 1, 1, 0
Motorway (2012), R, Rated R for violence., Grindstone Entertainment Group, Che Sau, NA, 0, 0, 1, 0, 0
"Mulberry Tree  The (2012)", R, Rated R for language and a scene of sexuality., New Hollywood Entertainment, NA, NA, 1, 0, 0, 1, 0
My Way (2012), R, Rated R for intense realistically graphic sequences of war violence., CJ Entertainment America, NA, NA, 0, 0, 1, 0, 0
Nailbiter (2012), R, Rated R for some violence and language., Grindstone Entertainment Group, NA, NA, 0, 0, 1, 1, 0
Nature Calls (2012), R, Rated R for language and some sexual content/nudity., Magnolia Pictures, NA, NA, 1, 1, 0, 1, 0
Nazis At The Center Of The Earth Special Edition (2012), R, "Rated R for bloody violence and gore  some nudity and brief language.", "Asylum Home Entertainment  The", NA, NA, 0, 1, 1, 1, 0
"Newest Pledge  The (2012)", R, Rated R for some sexual content and drug use., Grindstone Entertainment Group, NA, NA, 1, 0, 0, 0, 1
Night Of The Living Dead: Re-Animation (2012), R, "Rated R for bloody horror violence  language  some drug use and brief sexuality.", "Screen Media Ventures  LLC", NA, NA, 1, 0, 1, 1, 1
Night Of The Living Dead: Resurrection (2012), R, Rated R for zombie violence/gore and language., Grindstone Entertainment Group, NA, NA, 0, 0, 1, 1, 0
No (2012), R, Rated R for language., Sony Pictures Classics, NA, NA, 0, 0, 0, 1, 0
Nobody Walks (2012), R, "Rated R for sexuality  language and some drug use.", Magnolia Pictures, NA, NA, 1, 0, 0, 1, 1
Noobz (2012), R, Rated R for language including some crude sexual references., Big Air Studios, NA, NA, 1, 0, 0, 1, 0
Not Fade Away (2012), R, "Rated R for pervasive language  some drug use and sexual content.", Paramount Pictures Corporation, Twylight Zones; Untitled David Chase Project, NA, 1, 0, 0, 1, 1
"Numbers Station  The (2012)", R, Rated R for violence and language., "Image Entertainment  Inc.", NA, NA, 0, 0, 1, 1, 0
"Oblong Box  The (2012)", R, Rated R for some violence and sexual content., MGM Home Entertainment LLC, NA, Re-Rating, 1, 0, 1, 0, 0
"Odds  The (2012)", R, "Rated R for pervasive language  some violence  drug content and brief teen drinking.", "Screen Media Ventures  LLC", NA, NA, 0, 0, 1, 1, 1
Officer Down (2012), R, "Rated R for violence  language  nudity and drug content.", Anchor Bay Films, NA, NA, 0, 1, 1, 1, 1
On The Inside (2012), R, Rated R for violence and language., Anchor Bay Entertainment, NA, NA, 0, 0, 1, 1, 0
On The Road (2012), R, "Rated R for strong sexual content  drug use and language.", IFC Films, NA, NA, 1, 0, 0, 1, 1
One In The Chamber (2012), R, "Rated R for violence  language  brief drug use and sexuality.", "Anchor Bay Entertainment  LLC", NA, NA, 1, 0, 1, 1, 1
"Oranges  The (2012)", R, "Rated R for language including sexual references  and some drug use.", ATO Pictures, NA, NA, 1, 0, 0, 1, 1
"Package  The (2012)", R, Rated R for strong violence throughout., Anchor Bay Entertainment, NA, NA, 0, 0, 1, 0, 0
"Pact  The (2012)", R, Rated R for some strong bloody violence and language., IFC Films, NA, NA, 0, 0, 1, 1, 0
"Paperboy  The (2012)", R, "Rated R for strong sexual content  violence and language.", Millennium Entertainment, NA, NA, 1, 0, 1, 1, 0
Paranormal Activity 4 (2012), R, Rated R for language and some violence/terror., Paramount Pictures Corporation, Double Decker, NA, 0, 0, 1, 1, 0
Parasitic (2012), R, "Rated R for pervasive language  some sexual content/nudity and horror violence.", Phase 4 Films Inc., NA, NA, 1, 1, 1, 1, 0
Parker (2012), R, "Rated R for strong violence  language throughout and brief sexual content/nudity.", FilmDistrict, NA, NA, 1, 1, 1, 1, 0
Pawn (2012), R, "Rated R for violence  language and brief drug content.", Anchor Bay Films, NA, NA, 0, 0, 1, 1, 1
Pawn Shop Chronicles (2012), R, "Rated R for violence  sexual material  graphic nudity  pervasive language and some drug use.", Anchor Bay Entertainment, Pawnshop Chronicles, NA, 1, 1, 1, 1, 1
"Peace  Love & Misunderstanding (2012)", R, Rated R for drug content and some sexual references., IFC Films, NA, NA, 1, 0, 0, 0, 1
Perfect Sense (2012), R, Rated R for language and some sexuality/nudity, IFC Films, NA, NA, 1, 1, 0, 1, 0
Pickin' & Grinnin' (2012), R, Rated R for language and sexual content., House Lights Media, NA, NA, 1, 0, 0, 1, 0
Piranha 3DD (2012), R, "Rated R for sequences of strong bloody horror violence and gore  graphic nudity  sexual content  language and some drug use.", "Weinstein Company LLC  The", Piranha DD, NA, 1, 1, 1, 1, 1
"Place Beyond The Pines  The (2012)", R, "Rated R for language throughout  some violence  teen drug and alcohol use  and a sexual reference.", Focus Features LLC, NA, NA, 1, 0, 1, 1, 1
"Power Of Few  The (2012)", R, "Rated R for violence  language and brief drug use.", Steelyard Pictures, NA, NA, 0, 0, 1, 1, 1
"Prey  The (2012)", R, Rated R for violence and language., Cohen Media Group, La Proie, NA, 0, 0, 1, 1, 0
Project X: Extended Cut (2012), R, "Rated R for crude and sexual content throughout  nudity  drugs  drinking  pervasive language  reckless behavior and mayhem - all involving teens.", Warner Home Video, NA, Edited Version, 1, 1, 0, 1, 1
Prometheus (2012), R, "Rated R for sci-fi violence including some intense images  and brief language.", Twentieth Century Fox Film Corp., Paradise; Tomb Of The Gods, NA, 0, 0, 1, 1, 0
Promised Land (2012), R, Rated R for language., Focus Features LLC, NA, NA, 0, 0, 0, 1, 0
Pusher (2012), R, "Rated R for pervasive drug content and language  some strong sexuality  nudity and violence.", Radius-TWC, NA, NA, 1, 1, 1, 1, 1
Raaz 3 (2012), R, Rated R for some violent content., Twentieth Century Fox Film Corp., NA, NA, 0, 0, 1, 0, 0
"Raid: Redemption  The (2012)", R, "Rated R for strong brutal bloody violence throughout  and language.", Sony Pictures Classics, "Raid  The", NA, 0, 0, 1, 1, 0
"Rambler  The (2012)", R, "Rated R for disturbing gory violence  strong language including sexual references and for brief nudity.", Anchor Bay Films, NA, NA, 1, 1, 1, 1, 0
Rapture-Palooza (2012), R, "Rated R for language including crude sexual references throughout  and for drug use.", Lionsgate, Rapturepalooza, NA, 1, 0, 0, 1, 1
Reality (2012), R, Rated R for some language., Oscilloscope Laboratories, NA, NA, 0, 0, 0, 1, 0
Red Clover (2012), R, Rated R for bloody creature violence., After Dark Films, NA, NA, 0, 0, 1, 0, 0
Red Hook Summer (2012), R, "Rated R for brief violence  language and a disturbing situation.", Variance Films, NA, NA, 0, 0, 1, 1, 0
Red Lights (2012), R, Rated R for language and some violence., Millennium Entertainment, Red Light, NA, 0, 0, 1, 1, 0
Reign Of Assassins (2012), R, Rated R for violence., "Weinstein Company LLC  The", "Jianyu; Swordswoman's World  The", NA, 0, 0, 1, 0, 0
"Reluctant Fundamentalist  The (2012)", R, "Rated R for language  some violence and brief sexuality.", IFC Films, NA, NA, 1, 0, 1, 1, 0
Renoir (2012), R, Rated R for sequences of art-related nudity and brief language., Samuel Goldwyn Films (old address), NA, NA, 0, 1, 0, 1, 0
Resident Evil: Damnation (2012), R, Rated R for bloody violent content., Sony Pictures Home Entertainment, NA, NA, 0, 0, 1, 0, 0
Resident Evil: Retribution (2012), R, Rated R for sequences of strong violence throughout., Screen Gems, RE: 5; Resident Evil 5, NA, 0, 0, 1, 0, 0
Revenge For Jolly! (2012), R, "Rated R for strong bloody violence  pervasive language  substance abuse  and a scene of sexuality.", Revenge For Jolly Productions Inc. - [Production Co.], NA, NA, 1, 0, 1, 1, 1
Riddick (2012), R, "Rated R for strong violence  language and some sexual content/nudity.", Universal Studios, NA, NA, 1, 1, 1, 1, 0
"Road  The (2012)", R, "Rated R for violence  terror and some disturbing images.", "Freestyle Releasing  LLC", NA, NA, 0, 0, 1, 0, 0
Rock Of Ages: Extended Cut (2012), R, Rated R for some sexual content., Warner Home Video, NA, Edited Version, 1, 0, 0, 0, 0
"Royal Affair  A (2012)", R, Rated R for sexual content and some violent images., Magnolia Pictures, En Kongelig Affaere, NA, 1, 0, 1, 0, 0
Ruby Sparks (2012), R, "Rated R for language including some sexual references  and for some drug use.", Twentieth Century Fox Film Corp., He Loves Me, NA, 1, 0, 0, 1, 1
Rust And Bone (2012), R, "Rated R for strong sexual content  brief graphic nudity  some violence and language.", Sony Pictures Classics, De Rouille Et D'Os, NA, 1, 1, 1, 1, 0
Safe House (2012), R, Rated R for strong violence throughout and some language., Universal Studios, NA, NA, 0, 0, 1, 1, 0
Safety Not Guaranteed (2012), R, Rated R for language including some sexual references., FilmDistrict, NA, NA, 1, 0, 0, 1, 0
"Samaritan  The (2012)", R, "Rated R for strong violence  language  some sexuality and drug use.", IFC Films, NA, NA, 1, 0, 1, 1, 1
Sand Sharks (2012), R, Rated R for some bloody creature violence., Phase 4 Films Inc., NA, NA, 0, 0, 1, 0, 0
Saturday Morning Mystery (2012), R, "Rated R for bloody violence  some strong sexuality  nudity  drug use and pervasive language.", XLrator Media, Saturday Morning Massacre, NA, 1, 1, 1, 1, 1
Savages (2012), R, "Rated R for strong brutal and grisly violence  some graphic sexuality  nudity  drug use and language throughout.", Universal Studios, NA, NA, 1, 1, 1, 1, 1
Save The Date (2012), R, "Rated R for sexual content  language and brief drug use.", IFC Films, NA, NA, 1, 0, 0, 1, 1
Scary Or Die (2012), R, "Rated R for bloody horror violence  language and brief sexuality.", Phase 4 Films Inc., NA, NA, 1, 0, 1, 1, 0
Scream And Scream Again (2012), R, Rated R for some violence and brief nudity., MGM Home Entertainment LLC, Dont' Go In The Bedroom; House That Vanished; Screamer, Re-Rating, 0, 1, 1, 0, 0
Seance: The Summoning (2012), R, "Rated R for bloody violence  pervasive language  some drug use and brief nudity.", Grindstone Entertainment Group, NA, NA, 0, 1, 1, 1, 1
"Sessions  The (2012)", R, Rated R for strong sexuality including graphic nudity and frank dialogue., Twentieth Century Fox Film Corp., "Surrogate  The", NA, 1, 1, 0, 0, 0
Seven Below (2012), R, "Rated R for violence  sexuality/nudity and language.", ARC Entertainment, NA, NA, 1, 1, 1, 1, 0
Seven Psychopaths (2012), R, "Rated R for strong violence  bloody images  pervasive language  sexuality/nudity and some drug use.", CBS Films Inc., NA, NA, 1, 1, 1, 1, 1
Sexy Evil Genius (2012), R, Rated R for language., Lionsgate, NA, NA, 0, 0, 0, 1, 0
"Sierra Nevada Gunfight  A (2012)", R, Rated R for some violence., GT Media, "Sorrow  The", NA, 0, 0, 1, 0, 0
Silent Hill Revelation 3D (2012), R, "Rated R for violence and disturbing images  some language and brief nudity.", "Open Road Films  LLC", Silent Hill: Revelation 3D, NA, 0, 1, 1, 1, 0
Silent Night (2012), R, "Rated R for bloody violence  some sexuality/nudity  language and brief drug use.", Anchor Bay Entertainment, NA, NA, 1, 1, 1, 1, 1
"Silver Linings Playbook  The (2012)", R, Rated R for language and some sexual content/nudity., "Weinstein Company LLC  The", NA, NA, 1, 1, 0, 1, 0
Sin Reaper 3D (2012), R, Rated R for bloody violence and language., Brainstorm Media, NA, NA, 0, 0, 1, 1, 0
Sinister (2012), R, Rated R for disturbing violent images and some terror., "Summit Distribution  LLC", Found Footage, NA, 0, 0, 1, 0, 0
Six Bullets (2012), R, "Rated R for violence  disturbing images  language and sexual content.", Sony Pictures Worldwide Acquisitions Inc., NA, NA, 1, 0, 1, 1, 0
Small Apartments (2012), R, "Rated R for language  some violence  sexual content and drug use.", Sony Pictures Worldwide Acquisitions Inc., NA, NA, 1, 0, 1, 1, 1
Smashed (2012), R, "Rated R for alcohol abuse  language  some sexual content and brief drug use.", Sony Pictures Classics, NA, NA, 1, 0, 0, 1, 1
Smiley (2012), R, "Rated R for violence  terror  language  some sexual references and substance use by teens.", Fever Productions LLC, I Did It For The Lulz, NA, 1, 0, 1, 1, 1
Snitch (2012), R, Rated R for some violence., Cascade Pictures, Insecurity; Witness Insecurity, NA, 0, 0, 1, 0, 0
"Snitch Cartel  The (2012)", R, "Rated R for strong violence  language  drug content and sexuality/nudity.", Palmera International, El Cartel De Los Sapos, NA, 1, 1, 1, 1, 1
Snow On Tha Bluff (2012), R, "Rated R for drugs and language throughout  some violent content  drinking and brief nudity.", "Screen Media Ventures  LLC", NA, NA, 0, 1, 1, 1, 1
Solomon Kane (2012), R, Rated R for violence throughout., Radius-TWC, NA, NA, 0, 0, 1, 0, 0
Some Guy Who Kills People (2012), R, "Rated R for strong bloody violence  and language.", Lightning Media, NA, NA, 0, 0, 1, 1, 0
Something Better Somewhere Else (2012), R, Rated R for language., Vanguard Cinema, NA, NA, 0, 0, 0, 1, 0
Something From Nothing: The Art Of Rap (2012), R, "Rated R for pervasive language including sexual references  and some drug content.", "Indomina Media  Inc.", NA, NA, 1, 0, 0, 1, 1
"Sound Of My Voice  The (2012)", R, "Rated R for language including some sexual references  and brief drug use.", Twentieth Century Fox Film Corp., NA, NA, 1, 0, 0, 1, 1
Special Forces (2012), R, Rated R for language and some violence., Entertainment One Film USA LLC, NA, NA, 0, 0, 1, 1, 0
Spring Breakers (2012), R, "Rated R for strong sexual content  language  nudity  drug use and violence throughout.", "Spring Breakers  LLC - [Production Co.]", NA, NA, 1, 1, 1, 1, 1
Stag (2012), R, "Rated R for crude and sexual content  nudity and pervasive language.", Vertical Entertainment LLC, NA, NA, 1, 1, 0, 1, 0
Stand Off (2012), R, Rated R for language., ARC Entertainment, Heist; Whole Lotta Sole, NA, 0, 0, 0, 1, 0
Stand Up Guys (2012), R, "Rated R for language  sexual content  violence and brief drug use.", Roadside Attractions LLC, NA, NA, 1, 0, 1, 1, 1
Starbuck (2012), R, "Rated R for sexual content  language and some drug material.", Entertainment One Film USA LLC, NA, NA, 1, 0, 0, 1, 1
Starship Troopers: Invasion (2012), R, "Rated R for violence  language and nudity.", Sony Pictures Home Entertainment, ST4; Starship Troopers 4; Starship Troopers Anime, NA, 0, 1, 1, 1, 0
Stash House (2012), R, Rated R for violence., After Dark Films, NA, NA, 0, 0, 1, 0, 0
Stoker (2012), R, Rated R for disturbing violent and sexual content., Twentieth Century Fox Film Corp., NA, NA, 1, 0, 1, 0, 0
Stolen (2012), R, Rated R for some violence and brief language., Millennium Entertainment, Medallion, NA, 0, 0, 1, 1, 0
Storage 24 (2012), R, "Rated R for creature violence  gore and language.", Magnolia Pictures, NA, NA, 0, 0, 1, 1, 0
"Survival Games  The (2012)", R, Rated R for violence and language., "Screen Media Ventures  LLC", NA, NA, 0, 0, 1, 1, 0
Sushi Girl (2012), R, "Rated R for strong bloody violence  torture  language  nudity and brief drug use.", Magnolia Home Entertainment, NA, NA, 0, 1, 1, 1, 1
"Sweeney  The (2012)", R, Rated R for violence and language throughout and some sexual content., Entertainment One Film USA LLC, NA, NA, 1, 0, 1, 1, 0
Take This Waltz (2012), R, "Rated R for language  some strong sexual content and graphic nudity.", Magnolia Pictures, NA, NA, 1, 1, 0, 1, 0
"Tall Man  The (2012)", R, "Rated R for violence and terror  and for language.", "Image Entertainment  Inc.", "Secret  The", NA, 0, 0, 1, 1, 0
Tattoo (2012), R, "Rated R for violent content and grisly images throughout  nudity  sexuality  language and some drug material.", Lionsgate, NA, NA, 1, 1, 1, 1, 1
Ted (2012), R, "Rated R for crude and sexual content  pervasive language  and some drug use.", Universal Studios, Untitled Dy Bear Project, NA, 1, 0, 0, 1, 1
Telstar: The Joe Meek Story (2012), R, "Rated R for language  sexual content and brief violence.", "Inception Media Group  LLC", NA, NA, 1, 0, 1, 1, 0
Texas Chainsaw 3D (2012), R, Rated R for strong grisly violence and language throughout., Lionsgate, Leatherface; Texas Chainsaw Massacre 3D, NA, 0, 0, 1, 1, 0
That's My Boy (2012), R, "Rated R for crude sexual content throughout  nudity  pervasive language and some drug use.", Columbia Pictures, Donny's Boy; I Hate You Dad, NA, 1, 1, 0, 1, 1
That's What She Said (2012), R, Rated R for sexual content and language., Phase 4 Films Inc., NA, NA, 1, 0, 0, 1, 0
This Girl Is Badass (2012), R, Rated R for some violence., Magnolia Pictures, Jak Ka Lan, NA, 0, 0, 1, 0, 0
This Is 40 (2012), R, "Rated R for sexual content  crude humor  pervasive language and some drug material.", Universal Studios, "Happy Birthday  This Is Forty", NA, 1, 0, 0, 1, 1
This Must Be The Place (2012), R, "Rated R for language  some sexual content and brief disturbing images.", "Weinstein Company LLC  The", NA, NA, 1, 0, 1, 1, 0
"Thompsons  The (2012)", R, "Rated R for brutal bloody violence  some strong sexuality  nudity and language.", XLrator Media, "Thomsons  The", NA, 1, 1, 1, 1, 0
To Rome With Love (2012), R, Rated R for some sexual references., Sony Pictures Classics, "Bop Decameron  The; Nero Fiddled; WASP 11; Woody Allen Summer Project 2011", NA, 1, 0, 0, 0, 0
To The Wonder (2012), R, Rated R for some sexuality/nudity., Magnolia Pictures, Untitled Terrence Malick Project, Edited for re-rating, 1, 1, 0, 0, 0
"To-Do List  The (2012)", R, "Rated R for pervasive strong crude and sexual content including graphic dialogue  drug and alcohol use  and language - all involving teens.", CBS Films Inc., "To Do List  The", NA, 1, 0, 0, 1, 1
Tomorrow When The War Began (2012), R, Rated R for some violence., "Freestyle Digital Media  LLC", NA, NA, 0, 0, 1, 0, 0
